Game,Set Released At,Set Name,Set Code,Item Name,Price in USD Cents,Quantity,Condition,Language,Foil/Reverse,Signed,Altered,First Edition,Playset,Collector Number
Magic: the Gathering,2024-09-27,Duskmourn: House of Horror,DSK,Vile Mutilator,23,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,122
Magic: the Gathering,2024-09-27,Commander: Duskmourn House of Horror,DSC,Hinterland Harbor,51,1,Near Mint,en,FALSE,FALSE,FALSE,,FALSE,284
Magic: the Gathering,2024-09-27,Commander: Duskmourn House of Horror,DSC,Llanowar Wastes,63,1,Near Mint,en,FALSE,FALSE,FALSE,,FALSE,287
Magic: the Gathering,2024-09-27,Duskmourn: House of Horror Collectors,CDSK,Doomsday Excruciator (Borderless),124,1,Near Mint,en,FALSE,FALSE,FALSE,,FALSE,346
Magic: the Gathering,2024-09-27,Duskmourn: House of Horror Collectors,CDSK,Grievous Wound (Extended Art),71,1,Near Mint,en,FALSE,FALSE,FALSE,,FALSE,375
Magic: the Gathering,2024-09-27,Duskmourn: House of Horror Collectors,CDSK,Dissection Tools (Extended Art),75,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,385
Magic: the Gathering,2024-08-02,Bloomburrow,BLB,Long River Lurker,17,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,057
Magic: the Gathering,2024-08-02,Commander: Bloomburrow Collectors,CBLC,Octomancer (Extended Art),58,1,Slightly Played,en,FALSE,FALSE,FALSE,,FALSE,069
Magic: the Gathering,2024-08-02,Commander: Bloomburrow Collectors,CBLC,Marrow-Gnawer (Borderless),765,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,079
Magic: the Gathering,2024-08-02,Commander: Bloomburrow Collectors,CBLC,"Tamiyo, Field Researcher (Borderless)",167,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,100
Magic: the Gathering,2024-08-02,Bloomburrow,BLB,Mistbreath Elder,50,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,184
Magic: the Gathering,2024-08-02,Bloomburrow Promos,PBLB,"Clement, the Worrywort",0,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,209
Magic: the Gathering,2024-08-02,Bloomburrow Promos,PBLB,"Clement, the Worrywort",29,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,209
Magic: the Gathering,2024-08-02,Bloomburrow,BLB,Lilysplash Mentor,20,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,222
Magic: the Gathering,2024-08-02,Bloomburrow,BLB,Short Bow,19,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,248
Magic: the Gathering,2024-08-02,Bloomburrow Collectors,CBLB,Valley Mightcaller (Showcase),46,1,Near Mint,en,FALSE,FALSE,FALSE,,FALSE,326
Magic: the Gathering,2024-08-02,Bloomburrow Collectors,CBLB,Dreamdew Entrancer (Extended Art),49,1,Slightly Played,en,TRUE,FALSE,FALSE,,FALSE,365
Magic: the Gathering,2024-07-05,Universes Beyond: Assassin's Creed,ACR,Coastal Piracy,32,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,084
Magic: the Gathering,2024-07-05,Universes Beyond: Assassin's Creed,ACR,Coastal Piracy,32,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,084
Magic: the Gathering,2024-07-05,Universes Beyond: Assassin's Creed Collectors,CACR,Shao Jun (Etched Foil),37,1,Near Mint,en,TRUE,FALSE,FALSE,,FALSE,246
