Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Elves of Deep Shadow,SLD,Secret Lair Drop,1710,foil,rare,1,95565,90438697-02be-4bb4-8ef3-8536c4fb0446,6.62,false,false,near_mint,en,USD
Good-Fortune Unicorn,SLD,Secret Lair Drop,1711,foil,rare,1,95558,4a633f22-eae1-4fba-b81f-d79125ac88ca,6.62,false,false,near_mint,en,USD
Shivan Dragon,SLD,Secret Lair Drop,1709,foil,rare,1,95552,0bda24b2-a9ab-4aca-8bbf-1bfb0990f68f,6.62,false,false,near_mint,en,USD
Soul Warden,SLD,Secret Lair Drop,1708,foil,rare,1,95564,8e883f62-57de-4005-a937-27d0809ca04a,6.62,false,false,near_mint,en,USD
Coat of Arms,SLD,Secret Lair Drop,1712,foil,rare,1,95551,0b0359f9-b9da-46fe-a1bb-2fa8319792d0,6.62,false,false,near_mint,en,USD
Wolf,SLD,Secret Lair Drop,1613,normal,common,1,95264,c1ffdaf6-472e-46be-a74a-4be985b29df4,6.62,false,false,near_mint,en,USD
"Tovolar, Dire Overlord // Tovolar, the Midnight Scourge",SLD,Secret Lair Drop,1612,foil,rare,1,95262,54c92a0d-ab6e-45b2-b7a8-e13a5dd4e74e,6.62,false,false,near_mint,en,USD
Avabruck Caretaker // Hollowhenge Huntmaster,SLD,Secret Lair Drop,1608,foil,mythic,1,95265,da5ecf95-b360-4bc6-8706-de350736b7e3,6.62,false,false,near_mint,en,USD
Beastmaster Ascension,SLD,Secret Lair Drop,1609,foil,rare,1,95555,22d087fc-2fd5-4ce7-bece-b12dea3d300a,6.62,false,false,near_mint,en,USD
Howl of the Night Pack,SLD,Secret Lair Drop,1610,foil,rare,1,95266,f7f60ebd-4f6b-4562-8dec-d4b4e124cb73,6.62,false,false,near_mint,en,USD
Second Harvest,SLD,Secret Lair Drop,1611,foil,rare,1,95263,8a6a7def-59e3-4eef-a571-b97db54ce641,6.62,false,false,near_mint,en,USD
Nullmage Shepherd,SLD,Secret Lair Drop,774,foil,rare,1,96589,9277591c-cf20-4f82-b308-84e69c51113a,6.62,false,false,near_mint,en,USD
Immerwolf,SLD,Secret Lair Drop,809,foil,rare,1,96587,637216e9-ff5f-4dd5-ac08-a26a334431fb,6.62,false,false,near_mint,en,USD
